AFD;airport;Порт Альфред;Port Alfred;-33.55:26.88;Africa/Johannesburg;Port Alfred
AFF;airport;;USAF Academy Airstrip;;America/Denver;Colorado Springs
AFI;city;Амальфи;Amalfi;6.9166667:-75.0833333;America/Bogota;Colombia
AFI;airport;Амалфи;Amalfi;6.92:-75.07;America/Bogota;Amalfi
AFK;city;Ампара;Ampara;7.2317591:81.647344;;Sri Lanka
AFK;airport;;Kondavattavan Tank;7.2317591:81.647344;;Ampara
AFL;airport;Алта-Флореста;Alta Floresta;-9.87:-56.11;America/Cuiaba;Alta Floresta
AFL;city;Алта-Флореста;Alta Floresta;-9.8764971:-56.0864252;America/Cuiaba;Brazil
AFN;city;Джаффри;Jaffrey;42.813973:-72.0231359;America/New_York;United States
AFN;airport;;Municipal;42.81:-72.0;America/New_York;Jaffrey
AFO;city;Афтон;Afton;42.7249282:-110.9318687;America/Chicago;United States
AFO;airport;;Municipal;42.71:-110.94;America/Chicago;Afton
AFR;city;Афор;Afore;-9.133333:148.383333;Pacific/Port_Moresby;Papua New Guinea
AFR;airport;Афоре;Afore;-9.13:148.38;Pacific/Port_Moresby;Afore
AFS;city;Зарафшан;Zarafshan;41.578861:64.19313;;Uzbekistan
AFS;airport;;Zarafshan;41.578861:64.19313;;Zarafshan
AFT;city;Афутара;Afutara;;0;Solomon Islands
AFT;airport;;Afutara Aerodrome;;0;Afutara
AFW;airport;;Fort Worth Alliance;;;Fort Worth
AFY;city;Афьонкарахисар;Afyon;38.76376:30.54034;Europe/Istanbul;Turkey
AFY;airport;Афион;Afyon;38.73:30.6;Europe/Istanbul;Afyon
AFZ;city;Себзевар;Sabzevar;;;Iran
AFZ;airport;;Sabzevar;;;Sabzevar
AG;country;Антигуа и Барбуда;Antigua and Barbuda;;;
AGA;airport;Агадир Альмассира;Agadir Almassira;30.32:-9.41;Africa/Casablanca;Agadir
AGA;city;Агадир;Agadir;30.4:-9.6;Africa/Casablanca;Morocco
AGB;airport;;Augsburg - Muehlhausen;48.425278:10.931667;Europe/Berlin;Munich
AGC;airport;;Allegheny County;;America/New_York;Pittsburgh
AGD;city;Ангги;Anggi;-1.383333:133.866667;Asia/Jayapura;Indonesia
AGD;airport;Ангги;Anggi;-1.38:133.87;Asia/Jayapura;Anggi
AGE;city;Вангероге;Wangerooge;53.78812:7.9004975;Europe/Berlin;Germany
AGE;airport;;Flugplatz;53.78:7.92;Europe/Berlin;Wangerooge
AGF;city;Ажен;Agen;44.203142:0.616363;Europe/Paris;France
AGF;airport;;La Garenne;44.17:0.59;Europe/Paris;Agen
AGG;city;Ангорам;Angoram;-4.05:144.07;Pacific/Port_Moresby;Papua New Guinea
AGG;airport;Ангорам;Angoram;-4.05:144.07;Pacific/Port_Moresby;Angoram
AGH;airport;;Angelholm;56.3:12.85;Europe/Stockholm;Angelholm
AGH;city;Енгелхолм;Angelholm;56.2432:12.8615092;Europe/Stockholm;Sweden
AGI;city;Вагенинген;Wageningen;;3;Suriname
AGI;airport;;Wageningen;;3;Wageningen
AGJ;city;Агуни;Aguni;26.59:127.22;Asia/Tokyo;Japan
AGJ;airport;Агуни;Aguni;26.59:127.24;Asia/Tokyo;Aguni
AGK;city;Кагуа;Kagua;-6.38:143.85;Pacific/Port_Moresby;Papua New Guinea
AGK;airport;Кагуа;Kagua;-6.38:143.85;Pacific/Port_Moresby;Kagua
AGL;city;Ванигела;Wanigela;-9.33:149.15;Pacific/Port_Moresby;Papua New Guinea
AGL;airport;Ванигела;Wanigela;-9.33:149.15;Pacific/Port_Moresby;Wanigela
AGM;city;Тасиилак;Tasiilaq;65.6043845:-37.7072462;America/Godthab;Greenland
AGM;airport;;Tasiilaq;65.61:-37.62;America/Godthab;Tasiilaq
AGN;city;Ангун;Angoon;57.5033333:-134.5838889;America/Juneau;United States
AGN;airport;Ангун;Angoon;57.5:-134.59;America/Juneau;Angoon
AGO;city;Магнолиа;Magnolia;33.2670725:-93.239334;America/Chicago;United States
AGO;airport;;Municipal;33.23:-93.22;America/Chicago;Magnolia
AGP;airport;;Pablo Ruiz Picasso;36.67:-4.5;Europe/Madrid;Malaga
